station,time,mooring_site_desc,significant_wave_height,significant_wave_height_qc,dominant_wave_period,dominant_wave_period_qc,longitude,latitude,depth
,UTC,,meters,1,seconds,1,degrees_east,degrees_north,m
A01,2017-10-30T00:00:00Z,Massachusetts Bay,1.6193565,0,5.3333335,0,-70.5655,42.5232,0.0
A01,2017-10-30T00:30:00Z,Massachusetts Bay,1.6231519,0,5.3333335,0,-70.5655,42.5232,0.0
A01,2017-10-30T01:00:00Z,Massachusetts Bay,1.6685195,0,6.4,0,-70.5655,42.5232,0.0
A01,2017-10-30T01:30:00Z,Massachusetts Bay,2.0838702,0,5.3333335,0,-70.5655,42.5232,0.0
A01,2017-10-30T02:00:00Z,Massachusetts Bay,2.076123,0,5.3333335,0,-70.5655,42.5232,0.0
A01,2017-10-30T02:30:00Z,Massachusetts Bay,2.3910224,0,6.4,0,-70.5655,42.5232,0.0
A01,2017-10-30T03:00:00Z,Massachusetts Bay,2.6335745,0,6.4,0,-70.5655,42.5232,0.0
A01,2017-10-30T03:30:00Z,Massachusetts Bay,2.8703067,0,6.4,0,-70.5655,42.5232,0.0
A01,2017-10-30T04:00:00Z,Massachusetts Bay,3.041407,0,6.4,0,-70.5655,42.5232,0.0
A01,2017-10-30T04:30:00Z,Massachusetts Bay,3.119971,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T05:00:00Z,Massachusetts Bay,3.2617686,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T05:30:00Z,Massachusetts Bay,3.777672,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T06:00:00Z,Massachusetts Bay,2.9674132,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T06:30:00Z,Massachusetts Bay,3.9438171,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T07:00:00Z,Massachusetts Bay,3.3072488,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T07:30:00Z,Massachusetts Bay,4.015711,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T08:00:00Z,Massachusetts Bay,4.6268244,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T08:30:00Z,Massachusetts Bay,4.3040953,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T09:00:00Z,Massachusetts Bay,5.4014792,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T09:30:00Z,Massachusetts Bay,4.018508,40,8.0,40,-70.5655,42.5232,0.0
A01,2017-10-30T10:00:00Z,Massachusetts Bay,4.3170495,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T10:30:00Z,Massachusetts Bay,3.576799,0,8.0,0,-70.5655,42.5232,0.0
A01,2017-10-30T11:00:00Z,Massachusetts Bay,3.1667101,0,6.4,0,-70.5655,42.5232,0.0
A01,2017-10-30T11:30:00Z,Massachusetts Bay,3.8609385,0,8.0,0,-70.5655,42.5232,0.0
