UTC,Celcius
1980-01-01T00:00:00Z,-12.265
1980-01-02T00:00:00Z,-13.786
1980-01-03T00:00:00Z,-13.75104
1980-01-04T00:00:00Z,-13.7592
1980-01-05T00:00:00Z,-10.63584
1980-01-06T00:00:00Z,-12.5738
1980-01-07T00:00:00Z,-3.65998
1980-01-08T00:00:00Z,-0.53153
1980-01-09T00:00:00Z,-4.89008
1980-01-10T00:00:00Z,-7.05295
1980-01-11T00:00:00Z,-8.76774
1980-01-12T00:00:00Z,-12.20585
1980-01-13T00:00:00Z,-2.75657
1980-01-14T00:00:00Z,-2.4679
1980-01-15T00:00:00Z,-4.57368
1980-01-16T00:00:00Z,-11.6323
1980-01-17T00:00:00Z,-16.0247
1980-01-18T00:00:00Z,-16.44947
1980-01-19T00:00:00Z,-7.475
1980-01-20T00:00:00Z,-4.9829
1980-01-21T00:00:00Z,-3.37638
1980-01-22T00:00:00Z,-4.01194
1980-01-23T00:00:00Z,-4.0197
1980-01-24T00:00:00Z,-21.75352
1980-01-25T00:00:00Z,-17.17606
1980-01-26T00:00:00Z,-14.85047
1980-01-27T00:00:00Z,-21.88056
1980-01-28T00:00:00Z,-19.0532
1980-01-29T00:00:00Z,-20.1879
1980-01-30T00:00:00Z,-10.49174
1980-01-31T00:00:00Z,-9.27146
1980-02-01T00:00:00Z,-9.87018
1980-02-02T00:00:00Z,-12.5089
1980-02-03T00:00:00Z,-14.27335
1980-02-04T00:00:00Z,-15.39915
1980-02-05T00:00:00Z,-15.53312
1980-02-06T00:00:00Z,-14.40052
1980-02-07T00:00:00Z,-22.45798
1980-02-08T00:00:00Z,-19.55802
1980-02-09T00:00:00Z,-26.16682
1980-02-10T00:00:00Z,-21.43192
1980-02-11T00:00:00Z,-14.29618
1980-02-12T00:00:00Z,-10.57303
1980-02-13T00:00:00Z,-6.22666
1980-02-14T00:00:00Z,-8.21146
1980-02-15T00:00:00Z,-8.46537
1980-02-16T00:00:00Z,-5.25574
1980-02-17T00:00:00Z,-4.8037
1980-02-18T00:00:00Z,-4.0435
1980-02-19T00:00:00Z,-2.69044
1980-02-20T00:00:00Z,-0.60496
1980-02-21T00:00:00Z,-2.49668
1980-02-22T00:00:00Z,-5.59177
1980-02-23T00:00:00Z,-5.9293
1980-02-24T00:00:00Z,-2.9197
1980-02-25T00:00:00Z,-9.20206
1980-02-26T00:00:00Z,-6.78385
1980-02-27T00:00:00Z,-8.58146
1980-02-28T00:00:00Z,-9.83143
1980-02-29T00:00:00Z,-11.39142
1980-03-01T00:00:00Z,-9.6782
1980-03-02T00:00:00Z,-10.55982
1980-03-03T00:00:00Z,-8.44068
1980-03-04T00:00:00Z,-0.89146
1980-03-05T00:00:00Z,-3.41093
1980-03-06T00:00:00Z,-8.82096
1980-03-07T00:00:00Z,-7.89655
1980-03-08T00:00:00Z,-9.79148
1980-03-09T00:00:00Z,-12.10078
1980-03-10T00:00:00Z,-14.56223
1980-03-11T00:00:00Z,-16.21818
1980-03-12T00:00:00Z,-12.34073
1980-03-13T00:00:00Z,-6.9216
1980-03-14T00:00:00Z,-7.5048
1980-03-15T00:00:00Z,-0.88236
1980-03-16T00:00:00Z,-7.56272
1980-03-17T00:00:00Z,-8.64265
1980-03-18T00:00:00Z,-7.90732
1980-03-19T00:00:00Z,-5.26932
1980-03-20T00:00:00Z,-1.63206
1980-03-21T00:00:00Z,0.73617
1980-03-22T00:00:00Z,-1.08057
1980-03-23T00:00:00Z,-1.97928
1980-03-24T00:00:00Z,-1.626
1980-03-25T00:00:00Z,-0.60847
1980-03-26T00:00:00Z,1.8058
1980-03-27T00:00:00Z,-4.0153
1980-03-28T00:00:00Z,-5.99518
1980-03-29T00:00:00Z,-5.98737
1980-03-30T00:00:00Z,-5.5122
1980-03-31T00:00:00Z,-0.61985
1980-04-01T00:00:00Z,8.1672
1980-04-02T00:00:00Z,8.07684
1980-04-03T00:00:00Z,2.0639
1980-04-04T00:00:00Z,-3.08393
1980-04-05T00:00:00Z,3.10742
1980-04-06T00:00:00Z,8.483
1980-04-07T00:00:00Z,6.9142
1980-04-08T00:00:00Z,8.5712
1980-04-09T00:00:00Z,-0.29557
1980-04-10T00:00:00Z,-0.37415
1980-04-11T00:00:00Z,-2.7508
